"MNO","CNO","TITLE","SINGER","ALBUM","POSTER","IDCREMENT","STATE","KEY","HIT"
5,1,"toxic till the end","로제 (ROSÉ)","rosie","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/838/476/85838476_1733375833981_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
6,1,"HAPPY","DAY6 (데이식스)","Fourever","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/877/280/84877280_1710728168568_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
7,1,"너와의 모든 지금","재쓰비 (JAESSBEE)","너와의 모든 지금","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/758/344/85758344_1731048739763_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
8,1,"내 이름 맑음","QWER","2nd Mini Album 'Algorithm's Blossom'","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/556/176/85556176_1727059041255_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
9,1,"POWER","G-DRAGON","POWER","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/729/971/85729971_1730269317798_1_140x140.JPG/dims/resize/Q_80,0",1,"상승","",0
10,1,"내게 사랑이 뭐냐고 물어본다면","로이킴","내게 사랑이 뭐냐고 물어본다면","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/662/151/85662151_1729042126804_1_140x140.JPG/dims/resize/Q_80,0",1,"상승","",0
11,1,"Drowning","WOODZ","OO-LI","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/570/761/83570761_1682496044865_1_140x140.JPG/dims/resize/Q_80,0",1,"하강","",0
12,1,"Welcome to the Show","DAY6 (데이식스)","Fourever","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/877/280/84877280_1710728168568_1_140x140.JPG/dims/resize/Q_80,0",1,"하강","",0
13,1,"한 페이지가 될 수 있게","DAY6 (데이식스)","The Book of Us : Gravity","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/244/101/81244101_1563174738943_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
14,1,"Supernova","aespa","Armageddon - The 1st Album","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/165/232/85165232_1716798792825_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
15,1,"소나기","이클립스 (ECLIPSE)","선재 업고 튀어 OST Part 1","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/416/267/84416267_1712539030215_1_140x140.JPG/dims/resize/Q_80,0",1,"상승","",0
16,1,"UP (KARINA Solo)","aespa","SYNK : PARALLEL LINE - Special Digital Single","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/664/591/85664591_1728366690840_1_140x140.JPG/dims/resize/Q_80,0",1,"상승","",0
17,1,"고민중독","QWER","1st Mini Album 'MANITO'","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/934/155/84934155_1711856063083_1_140x140.JPG/dims/resize/Q_80,0",1,"상승","",0
18,1,"천상연","이창섭","천상연 (웹툰 '선녀외전' X 이창섭 (LEE CHANGSUB))","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/815/509/84815509_1708311688384_1_140x140.JPG/dims/resize/Q_80,0",1,"상승","",0
19,1,"슬픈 초대장","순순희 (지환)","슬픈 초대장","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/626/244/84626244_1702951496211_1_140x140.JPG/dims/resize/Q_80,0",2,"하강","",0
20,1,"예뻤어","DAY6 (데이식스)","Every DAY6 February","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/919/666/80919666_1486113823984_1_140x140.JPG/dims/resize/Q_80,0",2,"하강","",0
21,1,"Mantra","제니 (JENNIE)","Mantra","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/672/947/85672947_1728543992528_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
22,1,"나는 아픈 건 딱 질색이니까","(여자)아이들","2","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/718/499/84718499_1706517983529_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
23,1,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지","AKMU (악뮤)","항해","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/271/853/81271853_1569396403906_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
24,1,"Love wins all","아이유 (IU)","The Winning","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/729/887/84729887_1708417120198_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
25,1,"에피소드","이무진","에피소드","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/600/370/84600370_1702445165120_1_140x140.JPG/dims/resize/Q_80,0",1,"상승","",0
26,1,"비의 랩소디","임재현","비의 랩소디","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/545/218/84545218_1701255631132_1_140x140.JPG/dims/resize/Q_80,0",1,"상승","",0
27,1,"첫 만남은 계획대로 되지 않아","TWS (투어스)","TWS 1st Mini Album 'Sparkling Blue'","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/662/081/84662081_1705913418886_1_140x140.JPG/dims/resize/Q_80,0",1,"상승","",0
28,1,"DRIP","BABYMONSTER","DRIP","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/729/404/85729404_1730422138405_1_140x140.JPG/dims/resize/Q_80,0",1,"상승","",0
29,1,"How Sweet","NewJeans","How Sweet","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/075/275/85075275_1716515409009_1_140x140.JPG/dims/resize/Q_80,0",2,"하강","",0
30,1,"사랑은 늘 도망가","임영웅","신사와 아가씨 OST Part.2","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/322/594/82322594_1633671778123_1_140x140.JPG/dims/resize/Q_80,0",2,"하강","",0
31,1,"헤어지자 말해요","박재정","1집 Alone","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/748/133/83748133_1681960235531_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
32,1,"Small girl (Feat. 도경수 (D.O.))","이영지","16 Fantasy","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/338/698/85338698_1718875009670_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
33,1,"그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection))","너드커넥션 (Nerd Connection)","그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection))","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/150/934/84150934_1691983589938_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
34,1,"봄여름가을겨울 (Still Life)","BIGBANG (빅뱅)","봄여름가을겨울 (Still Life)","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/082/624/911/82624911_1649062753955_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
35,1,"클락션 (Klaxon)","(여자)아이들","I SWAY","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/399/225/85399225_1720405890464_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
36,1,"심 (心)","DK (디셈버)","심 (心)","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/556/186/83556186_1676621348326_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
37,1,"해야 (HEYA)","IVE (아이브)","IVE SWITCH","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/075/031/85075031_1714115323364_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
38,1,"청춘만화","이무진","만화 (滿花)","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/655/130/85655130_1728026830591_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
39,1,"Magnetic","아일릿 (ILLIT)","SUPER REAL ME","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/914/987/84914987_1711342168138_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
305,7,"Sunset Bird","이루마","Sunset Bird","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/436/501/81436501_1588916805027_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
306,7,"인생의 회전목마 (from '하울의 움직이는 성')","Hisaishi Joe & Royal Philharmonic Orchestra","A Symphonic Celebration - 스튜디오 지브리 애니메이션 음악","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/988/207/83988207_1687917334828_1_140x140.JPG/dims/resize/Q_80,0",0,"유지","",0
307,7,"Chopin : Nocturne No.1 In B Flat Minor, Op.9 No.1","백건우","Chopin The Complete Nocturnes","//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/081/167/996/81167996_1551755071234_1_140x140.JPG/dims/resize/Q_80,0",1,"상승","",0
